epoch,train_mse,val_mse
1,0.067167,0.025437
2,0.022299,0.022925
3,0.020830,0.022073
4,0.020505,0.022138
5,0.020056,0.021531
6,0.019832,0.021081
7,0.019264,0.021913
8,0.019296,0.021322
9,0.019132,0.021041
10,0.019046,0.021125
11,0.018872,0.021947
12,0.018597,0.021018
13,0.018430,0.020763
14,0.018558,0.021182
15,0.018491,0.021087
16,0.018567,0.021223
17,0.018455,0.020996
18,0.018236,0.021201
19,0.018144,0.020849
20,0.018159,0.020732
21,0.018009,0.020872
22,0.018063,0.020876
23,0.018054,0.020994
24,0.017963,0.021258
25,0.018375,0.021642
26,0.017941,0.021165
27,0.017617,0.021235
28,0.017789,0.021565
29,0.017713,0.021026
30,0.017624,0.021620
31,0.017548,0.023357
32,0.017791,0.021132
33,0.017545,0.021519
34,0.017408,0.021711
35,0.017431,0.020843
36,0.016973,0.020985
37,0.017136,0.022107
38,0.017142,0.022275
39,0.016899,0.021472
40,0.016881,0.021758
41,0.016974,0.021575
42,0.016370,0.021644
43,0.016695,0.023145
44,0.016401,0.021859
45,0.016328,0.022618
46,0.016055,0.022435
47,0.016213,0.022126
48,0.016031,0.022711
49,0.016240,0.020801
50,0.016139,0.023082
51,0.015626,0.022197
52,0.015519,0.021743
53,0.015777,0.025617
54,0.016089,0.022147
55,0.015088,0.022757
56,0.015038,0.023007
57,0.014994,0.022051
58,0.015000,0.023177
59,0.015125,0.024903
60,0.014380,0.023193
