step,success_rate,grasp_rate,mean_return,mean_max_lift,train_return,alpha,critic_loss,actor_loss,bc_coef,wall_seconds
25000,0.0000,0.2000,-43.789,0.0071,-58.447,0.1500,0.8889,16.6061,0.0000,288.9
50000,0.0000,0.1667,-38.375,0.0121,-42.889,0.1500,1.5328,15.5653,0.0000,540.6
75000,0.0000,0.4000,-31.979,0.0135,-43.226,0.1500,1.6891,15.5482,0.0000,795.5
100000,0.0000,0.4000,-27.614,0.0101,-49.600,0.1500,1.4509,14.9414,0.0000,1052.2
125000,0.0000,0.3000,-28.067,0.0089,-37.641,0.1500,1.4041,14.4205,0.0000,1309.2
150000,0.0000,0.3667,-24.131,0.0095,-43.403,0.1500,1.7595,13.7133,0.0000,1559.9
175000,0.0000,0.4667,-21.951,0.0086,-32.912,0.1500,2.7593,13.4827,0.0000,1805.3
200000,0.0000,0.5333,-16.756,0.0107,-47.596,0.1500,1.6909,12.6571,0.0000,2046.8
