epoch,train_mse,val_mse
1,0.060814,0.010463
2,0.009458,0.007310
3,0.007983,0.006758
4,0.007353,0.005800
5,0.006357,0.005558
6,0.005724,0.005390
7,0.005515,0.004607
8,0.005950,0.005301
9,0.005507,0.005378
10,0.004991,0.003812
11,0.004680,0.003845
12,0.004403,0.003336
13,0.004219,0.003714
14,0.004202,0.003832
15,0.004341,0.004264
16,0.004525,0.003418
17,0.004181,0.003256
18,0.003771,0.003761
19,0.003731,0.003035
20,0.003414,0.002985
21,0.003546,0.002949
22,0.003447,0.002778
23,0.003700,0.002805
24,0.003415,0.002912
25,0.003674,0.003179
26,0.003156,0.003385
27,0.003369,0.003332
28,0.003374,0.003664
29,0.003448,0.003007
30,0.003165,0.004158
31,0.003130,0.003678
32,0.003505,0.003974
33,0.003110,0.003059
34,0.003032,0.004280
35,0.003079,0.003071
36,0.002870,0.002958
37,0.002865,0.003190
38,0.003014,0.003539
39,0.003064,0.002488
40,0.002898,0.003674
41,0.003278,0.003279
42,0.002865,0.003162
43,0.002740,0.002933
44,0.002712,0.003066
45,0.002925,0.002841
46,0.002435,0.003110
47,0.002560,0.003051
48,0.002720,0.003722
49,0.003178,0.003316
50,0.002576,0.002849
51,0.002535,0.003210
52,0.002930,0.003031
53,0.002350,0.002800
54,0.002229,0.002732
55,0.002343,0.004032
56,0.002637,0.003227
57,0.002955,0.003327
58,0.002185,0.002949
59,0.002157,0.002501
60,0.002183,0.003001
