step,success_rate,grasp_rate,mean_return,mean_max_lift,train_return,alpha,critic_loss,actor_loss,bc_coef,wall_seconds
25000,0.9667,1.0000,258.463,0.1047,84.485,0.0016,28.2253,-1.4225,37.5000,164.0
50000,0.9333,1.0000,312.773,0.0994,248.084,0.0016,175.7219,-2.2616,25.0000,350.2
75000,0.9333,1.0000,329.289,0.1089,308.021,0.0014,222.8402,-2.3570,12.5000,519.8
100000,0.3667,0.8000,170.542,0.0737,269.036,0.0011,167.1450,-174.5646,0.0000,727.5
125000,0.6667,0.9667,416.205,0.0859,427.310,0.0427,173.5034,-208.0475,0.0000,953.2
150000,0.5000,0.8333,287.919,0.0677,282.528,0.0740,286.2426,-226.0773,0.0000,1161.3
175000,0.6667,0.9000,397.136,0.0775,494.222,0.0723,204.7199,-224.0696,0.0000,1416.7
200000,0.8000,1.0000,518.484,0.0811,449.051,0.0693,207.9672,-241.7500,0.0000,1669.5
