step,success_rate,grasp_rate,mean_return,mean_max_lift,train_return,alpha,critic_loss,actor_loss,bc_coef,wall_seconds
25000,0.0000,0.3000,-40.453,0.0318,-51.449,0.1500,0.7325,12.4878,0.0000,333.8
50000,0.0000,0.4000,-29.752,0.0296,-41.893,0.1500,1.2743,13.6923,0.0000,654.7
75000,0.0000,0.3333,-28.386,0.0267,-44.702,0.1500,2.0958,13.6049,0.0000,972.5
100000,0.0000,0.5333,-20.770,0.0287,-48.200,0.1500,1.9550,13.3357,0.0000,1290.9
125000,0.0000,0.2667,-30.851,0.0293,-32.537,0.1500,2.8346,13.6647,0.0000,1596.5
150000,0.0000,0.4333,-24.942,0.0237,-37.034,0.1500,2.6369,13.3242,0.0000,1888.1
175000,0.0000,0.4667,-25.084,0.0295,-31.000,0.1500,2.7826,12.5954,0.0000,2165.2
200000,0.0000,0.5667,-22.651,0.0315,-30.647,0.1500,3.2601,12.2759,0.0000,2417.0
