step,success_rate,grasp_rate,mean_return,mean_max_lift,train_return,alpha,critic_loss,actor_loss,bc_coef,wall_seconds
25000,0.0000,0.3667,-33.150,0.0061,-43.664,0.1500,0.9438,10.1155,0.0000,336.8
50000,0.0000,0.6000,-24.025,0.0221,-37.776,0.1500,1.1650,10.0787,0.0000,683.8
75000,0.0000,0.5667,-12.180,0.0322,-37.938,0.1500,1.3506,9.9557,0.0000,1007.7
100000,0.0000,0.6000,-6.131,0.0586,-38.404,0.1500,1.4050,9.7845,0.0000,1304.1
125000,0.0000,0.6667,15.031,0.1051,-23.290,0.1500,2.8514,8.6252,0.0000,1585.0
150000,0.0667,0.8000,77.172,0.1501,6.307,0.1500,5.2835,8.3486,0.0000,1878.9
175000,0.3667,0.9333,290.624,0.1396,268.336,0.1500,70.1189,-4.5984,0.0000,2237.6
200000,0.6000,0.8667,330.324,0.1347,356.545,0.1500,336.8790,-33.7237,0.0000,2476.2
