step,success_rate,grasp_rate,mean_return,mean_max_lift,train_return,alpha,critic_loss,actor_loss,bc_coef,wall_seconds
25000,0.0000,0.5333,-36.861,0.0205,-37.826,0.0132,1.0785,21.2367,0.0000,347.2
50000,0.0000,0.6333,-24.745,0.0077,-26.382,0.0137,1.4508,20.9103,0.0000,688.5
75000,0.0000,0.7000,-12.153,0.0093,-23.014,0.0140,1.9056,19.0157,0.0000,1034.7
100000,0.0000,0.4333,-11.470,0.0552,-25.663,0.0226,5.5730,15.5676,0.0000,1377.4
125000,0.0333,0.6000,26.126,0.0513,51.714,0.0339,15.4716,16.6069,0.0000,1712.6
150000,0.1667,0.6000,77.574,0.0750,56.039,0.0611,76.0961,3.1743,0.0000,2046.1
175000,0.1667,0.7333,113.247,0.0988,146.255,0.0891,111.5899,-4.7870,0.0000,2384.6
200000,0.3667,0.7333,228.482,0.1135,308.080,0.0982,111.3843,-1.7490,0.0000,2717.6
225000,0.3000,0.8000,212.631,0.0807,143.055,0.1121,167.8106,-7.5293,0.0000,3040.7
250000,0.6333,0.9667,397.959,0.1294,338.802,0.1252,322.6224,-3.9171,0.0000,3376.8
275000,0.6333,0.9333,450.325,0.1271,411.873,0.1429,166.9607,-16.2674,0.0000,3707.7
300000,0.6667,0.9000,424.640,0.1314,437.228,0.1502,275.1370,-31.3958,0.0000,4038.8
