step,success_rate,grasp_rate,mean_return,mean_max_lift,train_return,alpha,critic_loss,actor_loss,bc_coef,wall_seconds
1500,0.0000,0.0938,-56.322,0.0014,-81.134,0.3000,0.0264,-0.0809,0.0,181.0
3000,0.0000,0.5938,-22.878,0.0059,-57.696,0.3000,0.1308,-0.0345,0.0,363.9
4500,0.0000,0.4375,2.325,0.0045,-33.711,0.3000,0.0998,-0.8718,0.0,539.6
6000,0.0000,0.6562,14.790,0.0024,-10.355,0.3000,0.9936,-2.4225,0.0,717.9
7500,0.0000,0.6875,11.194,0.0016,2.911,0.3000,1.7694,-4.9739,0.0,894.5
9000,0.0000,0.7188,15.069,0.0015,12.435,0.3000,1.0312,-7.1481,0.0,1072.9
10500,0.0000,0.8750,60.684,0.1348,26.884,0.3000,2.7174,-10.1579,0.0,1250.6
12000,0.0000,0.9375,87.945,0.1920,46.479,0.3000,1.9831,-12.6516,0.0,1427.7
13500,0.0000,1.0000,120.540,0.2635,62.713,0.3000,3.7725,-14.2133,0.0,1607.6
15000,1.0000,1.0000,607.589,0.1428,461.410,0.3000,5.2244,-19.3538,0.0,1787.6
