step,success_rate,grasp_rate,mean_return,mean_max_lift,train_return,alpha,critic_loss,actor_loss,bc_coef,wall_seconds
25000,0.0000,0.4000,-35.985,0.0089,-54.978,0.0500,0.8578,31.5003,0.0000,322.1
50000,0.0000,0.7333,-12.669,0.0178,-17.983,0.0500,2.4700,28.2171,0.0000,647.9
75000,0.0000,0.6667,-5.907,0.0088,-14.765,0.0500,3.3556,26.0701,0.0000,984.4
100000,0.0000,0.7333,-8.046,0.0198,-21.193,0.0500,4.8719,25.4163,0.0000,1332.7
125000,0.0333,0.7667,6.807,0.0224,0.919,0.0500,6.2011,25.0850,0.0000,1667.4
150000,0.0333,0.7667,3.062,0.0239,-4.767,0.0500,16.8000,22.4752,0.0000,1999.7
175000,0.0667,0.7333,18.266,0.0213,23.972,0.0500,37.8505,24.0350,0.0000,2332.7
200000,0.0667,0.7000,32.117,0.0445,-26.838,0.0500,31.6229,16.8992,0.0000,2666.3
225000,0.2000,0.9000,167.526,0.0962,73.754,0.0500,74.1847,11.6007,0.0000,2983.3
250000,0.3333,0.7333,189.522,0.0959,294.225,0.0507,89.2288,6.0633,0.0000,3323.5
275000,0.4667,0.8333,356.533,0.1289,282.329,0.0655,108.4377,0.0249,0.0000,3654.6
300000,0.6000,0.9000,421.836,0.1486,425.486,0.0813,160.4627,-12.8962,0.0000,3978.8
