epoch,train_mse,val_mse
1,0.060864,0.022003
2,0.018641,0.018300
3,0.015549,0.015474
4,0.014187,0.013745
5,0.013138,0.014141
6,0.012151,0.013568
7,0.011995,0.013472
8,0.011382,0.012650
9,0.010889,0.013376
10,0.010876,0.013809
11,0.010528,0.011777
12,0.010465,0.013410
13,0.010083,0.012983
14,0.010166,0.011561
15,0.009907,0.012283
16,0.010021,0.014787
17,0.009453,0.012895
18,0.009569,0.014724
19,0.009306,0.013422
20,0.009659,0.014098
21,0.009239,0.012849
22,0.008921,0.013866
23,0.009344,0.012707
24,0.009183,0.012241
25,0.008791,0.014324
26,0.008882,0.012325
27,0.008796,0.014081
28,0.008679,0.013503
29,0.008598,0.013886
30,0.008460,0.013279
31,0.008603,0.015932
32,0.008474,0.014706
33,0.008387,0.013856
34,0.007988,0.013756
35,0.008049,0.012941
36,0.007945,0.012566
37,0.008392,0.015079
38,0.008075,0.012601
39,0.008004,0.014829
40,0.008220,0.012039
41,0.007942,0.013935
42,0.007671,0.014079
43,0.008320,0.014150
44,0.007858,0.012610
45,0.007955,0.013596
46,0.007441,0.015014
47,0.007586,0.013642
48,0.007506,0.013192
49,0.007933,0.013728
50,0.007568,0.012917
51,0.007207,0.014356
52,0.007576,0.013959
53,0.008112,0.013356
54,0.007692,0.013180
55,0.007331,0.012546
56,0.007442,0.012596
57,0.007175,0.014638
58,0.007317,0.013275
59,0.006865,0.016246
60,0.007658,0.014482
