step,success_rate,grasp_rate,mean_return,mean_max_lift,train_return,alpha,critic_loss,actor_loss,bc_coef,wall_seconds
25000,0.7667,0.9000,561.931,0.1115,556.714,0.1500,67.9534,-74.0744,0.0000,329.4
50000,0.9333,1.0000,683.640,0.1365,704.275,0.2269,87.0778,-250.7352,0.0000,663.1
75000,0.9667,1.0000,732.634,0.1249,676.612,0.2222,53.7472,-320.4336,0.0000,990.6
100000,0.9667,1.0000,711.237,0.1279,738.481,0.1926,58.9676,-355.5835,0.0000,1317.6
125000,1.0000,1.0000,771.607,0.1291,749.717,0.1500,41.2599,-376.0818,0.0000,1644.3
150000,1.0000,1.0000,775.839,0.1282,766.391,0.1500,43.2072,-387.0565,0.0000,1972.8
175000,1.0000,1.0000,789.855,0.1279,771.824,0.1500,24.6520,-388.9647,0.0000,2276.6
