step,success_rate,grasp_rate,mean_return,mean_max_lift,train_return,alpha,critic_loss,actor_loss,bc_coef,wall_seconds
25000,0.0000,0.2667,-48.044,0.0055,-44.267,0.0015,96.0142,-1.2418,37.5000,132.1
50000,0.0000,0.7667,-49.176,0.0150,-56.709,0.0007,79.2578,-1.9309,25.0000,280.9
75000,0.0000,0.3667,-51.205,0.0286,-59.634,0.0005,76.8595,-1.8810,12.5000,427.3
100000,0.0000,0.1667,-69.287,0.0052,-56.011,0.0002,35.9108,-84.8589,0.0000,567.5
125000,0.0000,0.3667,-60.508,0.0054,-73.939,0.0096,73.5509,-92.9511,0.0000,698.2
150000,0.0000,0.3667,-57.518,0.0077,-64.808,0.0147,277.4044,-92.3062,0.0000,828.9
175000,0.0000,0.2000,-72.652,0.0054,-66.977,0.0073,18.4324,-90.8998,0.0000,960.1
200000,0.0000,0.0333,-74.431,0.0035,-68.409,0.0057,53.5515,-88.9398,0.0000,1091.1
