step,success_rate,grasp_rate,mean_return,mean_max_lift,train_return,alpha,critic_loss,actor_loss,bc_coef,wall_seconds
12500,0.0000,0.0000,-93.702,0.0000,-86.685,0.1500,2.0059,28.8158,0.0000,61.2
25000,0.0000,0.0000,-86.783,0.0000,-81.563,0.1500,1.8462,31.5724,0.0000,124.6
