step,success_rate,grasp_rate,mean_return,mean_max_lift,train_return,alpha,critic_loss,actor_loss,bc_coef,wall_seconds
25000,0.0333,0.0333,2.467,0.0033,0.0,0.1500,1.2548,-44.9298,0.0,287.3
50000,0.0000,0.0000,0.000,0.0008,0.0,0.1500,1.0860,-53.5722,0.0,574.5
75000,0.0333,0.0667,2.533,0.0034,0.0,0.1500,1.2135,-56.6299,0.0,858.3
100000,0.0000,0.0000,0.000,0.0002,0.0,0.1500,2.0910,-59.5102,0.0,1138.4
125000,0.0000,0.0000,0.000,0.0010,0.0,0.1500,1.6903,-60.6988,0.0,1432.9
150000,0.0000,0.0000,0.000,0.0000,0.0,0.1500,0.7537,-62.2776,0.0,1736.4
175000,0.0000,0.0000,0.000,0.0000,0.0,0.1500,0.4932,-65.0492,0.0,2023.6
200000,0.0000,0.0000,0.000,0.0000,0.0,0.1500,0.3654,-65.2717,0.0,2310.8
