step,success_rate,grasp_rate,mean_return,mean_max_lift,train_return,alpha,critic_loss,actor_loss,bc_coef,wall_seconds
10000,0.2000,1.0000,205.716,0.2173,153.262,0.0030,216.2026,-2.1969,45.0000,142.8
20000,0.8000,1.0000,478.919,0.1328,436.108,0.0017,407.2701,-2.4072,40.0000,312.6
30000,0.8333,1.0000,499.026,0.1397,457.450,0.0017,515.4243,-2.4234,35.0000,482.6
40000,0.9000,1.0000,521.826,0.1303,570.649,0.0017,181.7309,-2.2962,30.0000,649.4
50000,0.8000,1.0000,505.789,0.1284,531.016,0.0016,376.1070,-2.4131,25.0000,817.4
60000,0.8000,1.0000,514.901,0.1281,473.730,0.0014,256.7283,-2.4121,20.0000,983.9
70000,0.8333,1.0000,535.873,0.1302,518.717,0.0014,243.3517,-2.3761,15.0000,1150.3
80000,0.7667,1.0000,532.941,0.1300,545.101,0.0014,338.7876,-2.4245,10.0000,1328.8
90000,0.8000,1.0000,551.428,0.1380,595.873,0.0013,158.3939,-2.4092,5.0000,1511.0
100000,0.3333,0.9000,204.388,0.1025,340.790,0.0013,269.2688,-264.3065,0.0000,1678.0
110000,0.6000,0.9333,367.730,0.1149,326.065,0.0294,366.4202,-291.0889,0.0000,1833.5
120000,0.6667,0.9667,432.091,0.1145,481.743,0.1468,400.8378,-253.3076,0.0000,1986.6
130000,0.7667,0.9667,482.282,0.1238,527.935,0.1421,280.6726,-235.0863,0.0000,2143.3
140000,0.7667,0.9333,516.632,0.1284,525.379,0.1393,816.3763,-231.7642,0.0000,2299.7
150000,0.7667,0.9667,541.237,0.1377,490.289,0.1382,428.9108,-242.3765,0.0000,2454.1
160000,0.8000,1.0000,516.707,0.1405,620.639,0.1376,429.4102,-226.1457,0.0000,2598.0
170000,0.7333,1.0000,537.617,0.1461,571.907,0.1408,465.0195,-225.2573,0.0000,2741.1
180000,0.8000,1.0000,554.886,0.1378,609.597,0.1356,372.2355,-217.5243,0.0000,2949.8
190000,0.7667,1.0000,567.685,0.1385,443.170,0.1373,610.2938,-224.6472,0.0000,3158.0
200000,0.8000,1.0000,578.073,0.1360,428.413,0.1382,524.2927,-244.1746,0.0000,3344.5
