step,success_rate,grasp_rate,mean_return,mean_max_lift,train_return,alpha,critic_loss,actor_loss,bc_coef,wall_seconds
25000,0.5000,0.6667,281.333,0.1080,294.332,0.0016,187.2508,-2.0342,50.0000,158.6
50000,0.5333,0.6667,312.567,0.1084,273.788,0.0013,393.4184,-2.2339,50.0000,335.8
75000,0.5000,0.7667,288.060,0.1023,187.305,0.0014,430.5365,-2.2068,50.0000,513.7
100000,0.5333,0.7000,312.904,0.1063,416.426,0.0014,679.4176,-2.1286,50.0000,691.5
125000,0.5000,0.7000,296.572,0.1020,246.067,0.0014,635.8842,-2.0657,50.0000,869.0
150000,0.5000,0.7333,286.125,0.1063,258.733,0.0013,794.7554,-2.1175,50.0000,1048.3
175000,0.5667,0.8000,325.493,0.1091,349.287,0.0010,457.1596,-2.0950,50.0000,1226.8
200000,0.5333,0.8333,314.757,0.1048,290.163,0.0009,253.4501,-2.1207,50.0000,1406.3
