step,success_rate,grasp_rate,mean_return,mean_max_lift,train_return,alpha,critic_loss,actor_loss,bc_coef,wall_seconds
10000,0.0000,0.3667,-31.500,0.0072,-54.903,0.1500,0.4763,13.0695,0.0000,113.7
20000,0.0000,0.6667,-18.847,0.0097,-37.249,0.1500,1.2180,14.2567,0.0000,223.9
30000,0.0000,0.4333,-26.852,0.0074,-35.763,0.1500,1.4026,14.1294,0.0000,345.6
40000,0.0000,0.4333,-20.069,0.0101,-34.383,0.1500,2.2299,12.9837,0.0000,465.6
50000,0.0000,0.5333,-15.746,0.0109,-32.296,0.1500,1.9742,14.4017,0.0000,590.4
60000,0.0000,0.7333,-10.503,0.0256,-33.107,0.1500,2.5704,14.4247,0.0000,709.1
70000,0.0000,0.7000,-25.291,0.0093,-27.277,0.1500,2.5700,15.1698,0.0000,828.0
80000,0.0000,0.7333,-4.817,0.0450,-29.127,0.1500,2.2464,15.0341,0.0000,939.2
90000,0.0333,0.6000,-4.555,0.0363,-31.041,0.1500,3.4185,14.5010,0.0000,1055.7
100000,0.0333,0.6000,11.490,0.0199,-3.735,0.1500,4.6684,14.7972,0.0000,1176.5
