step,success_rate,grasp_rate,mean_return,mean_max_lift,train_return,alpha,critic_loss,actor_loss,bc_coef,wall_seconds
25000,0.2667,0.7333,137.147,0.0622,9.407,0.0021,300.2621,-2.2370,50.0000,367.0
50000,0.5000,0.7333,191.264,0.0672,239.549,0.0020,316.2607,-1.4571,50.0000,812.3
75000,0.2333,0.6667,106.107,0.0445,211.795,0.0022,380.5557,-2.2055,50.0000,1317.8
100000,0.6000,0.7667,252.468,0.0860,382.508,0.0024,338.9290,-2.0704,50.0000,1769.9
125000,0.5667,0.6667,235.139,0.0754,313.802,0.0022,397.6949,-1.3020,50.0000,2241.8
150000,0.5667,0.7000,260.777,0.0813,350.716,0.0024,556.0789,-1.5682,50.0000,2667.2
175000,0.5667,0.7333,245.047,0.0796,306.643,0.0026,395.3036,-1.9386,50.0000,3090.2
200000,0.6000,0.6667,259.965,0.0805,306.690,0.0027,360.7553,-1.8879,50.0000,3485.7
