epoch,train_mse,val_mse
1,0.049460,0.011346
2,0.009231,0.009482
3,0.007601,0.007604
4,0.006771,0.007801
5,0.006310,0.007951
6,0.005986,0.007806
7,0.005599,0.007212
8,0.005331,0.009172
9,0.005298,0.007506
10,0.005244,0.007539
11,0.004980,0.007631
12,0.004854,0.007649
13,0.005036,0.008011
14,0.004527,0.009109
15,0.004575,0.007711
16,0.004750,0.007994
17,0.004202,0.008211
18,0.004290,0.008209
19,0.004149,0.008197
20,0.004215,0.008128
21,0.004251,0.007839
22,0.004061,0.007811
23,0.003898,0.007969
24,0.003761,0.007710
25,0.003679,0.008175
26,0.003560,0.007981
27,0.003657,0.008514
28,0.003834,0.008240
29,0.003837,0.008004
30,0.003332,0.008471
31,0.003288,0.008771
32,0.003605,0.008230
33,0.003283,0.008242
34,0.002993,0.008273
35,0.003126,0.009354
36,0.003456,0.009047
37,0.003117,0.008081
38,0.003065,0.009002
39,0.003261,0.008839
40,0.002914,0.008788
41,0.002872,0.009580
42,0.003310,0.009015
43,0.002548,0.009053
44,0.002988,0.009337
45,0.002931,0.009191
46,0.002466,0.008862
47,0.002371,0.009175
48,0.002427,0.009400
49,0.002639,0.009070
50,0.002707,0.009314
51,0.002541,0.009054
52,0.002382,0.009618
53,0.002263,0.009734
54,0.002047,0.008916
55,0.001914,0.008907
56,0.002071,0.009547
57,0.002069,0.008897
58,0.002101,0.008885
59,0.002148,0.009576
60,0.001711,0.009258
