step,success_rate,grasp_rate,mean_return,mean_max_lift,train_return,alpha,critic_loss,actor_loss,bc_coef,wall_seconds
10000,0.0000,0.8000,-1.221,0.0092,-15.017,0.0500,0.4636,11.4155,0.0000,124.0
20000,0.0000,0.7667,12.016,0.0060,2.303,0.0500,0.8856,2.6129,0.0000,234.1
30000,0.0000,0.7667,8.148,0.0112,3.079,0.0500,3.0547,-2.2834,0.0000,349.7
40000,0.0000,0.8667,24.053,0.0220,8.435,0.0500,1.7360,-5.3233,0.0000,464.4
50000,0.0333,0.9000,29.117,0.0430,22.986,0.0500,2.6522,-6.7222,0.0000,576.5
60000,0.1000,0.8000,75.087,0.0232,136.772,0.0500,4.5333,-10.5153,0.0000,691.9
70000,0.6667,0.8667,467.368,0.0943,372.735,0.0756,34.0636,-48.0924,0.0000,805.2
80000,0.8000,0.9333,552.383,0.1181,510.927,0.1661,50.7981,-112.8947,0.0000,915.2
90000,0.8667,0.9667,625.208,0.1316,491.920,0.2132,95.6159,-162.3620,0.0000,1022.1
100000,0.8667,0.9000,611.698,0.1114,600.151,0.2382,87.8507,-195.1045,0.0000,1127.8
