epoch,train_mse,val_mse
1,0.128493,0.079156
2,0.070017,0.070646
3,0.060799,0.068536
4,0.055626,0.064309
5,0.051238,0.062462
6,0.047383,0.061059
7,0.044608,0.060802
8,0.041396,0.059481
9,0.039253,0.059689
10,0.037214,0.061512
11,0.036215,0.061120
12,0.035293,0.061121
13,0.032752,0.059443
14,0.030957,0.059377
15,0.030652,0.061710
16,0.029192,0.060868
17,0.027945,0.065091
18,0.027273,0.059878
19,0.026531,0.060775
20,0.025022,0.061926
21,0.024584,0.063832
22,0.024452,0.062818
23,0.024235,0.061787
24,0.023056,0.061979
25,0.023379,0.066278
26,0.023219,0.064381
27,0.023048,0.063019
28,0.021447,0.062915
29,0.021104,0.062612
30,0.020215,0.063024
31,0.019625,0.062156
32,0.019449,0.062500
33,0.019087,0.064366
34,0.018944,0.063249
35,0.018184,0.063582
36,0.017939,0.064162
37,0.017740,0.063571
38,0.017479,0.063530
39,0.017441,0.064865
40,0.017275,0.065069
41,0.017652,0.066838
42,0.019352,0.069276
43,0.031058,0.072476
44,0.028001,0.065655
45,0.021760,0.063757
46,0.020180,0.066664
47,0.018846,0.063938
48,0.017870,0.065490
49,0.017117,0.066637
50,0.017367,0.064991
51,0.017584,0.067280
52,0.017134,0.065550
53,0.017946,0.064189
54,0.017822,0.062370
55,0.016831,0.066405
56,0.016311,0.065311
57,0.016451,0.067421
58,0.016827,0.066485
59,0.015854,0.068119
60,0.015643,0.065207
