step,success_rate,grasp_rate,mean_return,mean_max_lift,train_return,alpha,critic_loss,actor_loss,bc_coef,wall_seconds
25000,0.0000,0.3000,-33.190,0.0060,-47.302,0.1500,1.4627,18.5927,0.0000,413.7
50000,0.0000,0.4667,-5.119,0.0496,-17.559,0.1500,2.6485,19.0914,0.0000,817.5
75000,0.0667,0.6333,49.326,0.0580,67.394,0.1500,26.4209,13.1441,0.0000,1204.3
100000,0.1000,0.3333,-8.148,0.0239,-52.814,0.1500,36.0639,10.0060,0.0000,1604.4
125000,0.0667,0.4333,44.114,0.0535,30.202,0.1500,84.2874,14.6295,0.0000,1915.0
150000,0.1333,0.4667,53.762,0.0516,104.519,0.1500,130.0884,6.8840,0.0000,2220.9
175000,0.2000,0.5667,131.219,0.0823,61.408,0.1500,144.6769,12.8347,0.0000,2614.5
200000,0.2333,0.5333,105.585,0.0614,159.473,0.1500,100.8008,-2.7388,0.0000,3095.9
