epoch,train_mse,val_mse
1,0.049325,0.010517
2,0.009640,0.008071
3,0.007731,0.006505
4,0.006944,0.006547
5,0.006658,0.006757
6,0.005925,0.008104
7,0.005867,0.006686
8,0.005500,0.006477
9,0.005282,0.006132
10,0.005424,0.007002
11,0.005084,0.006798
12,0.004666,0.006075
13,0.004696,0.006677
14,0.004499,0.005996
15,0.004740,0.006568
16,0.004366,0.006084
17,0.004250,0.005946
18,0.003876,0.006126
19,0.004211,0.005297
20,0.003906,0.006019
21,0.003697,0.005910
22,0.003685,0.004917
23,0.003732,0.006054
24,0.003843,0.005471
25,0.004225,0.005609
26,0.003531,0.006520
27,0.003388,0.006120
28,0.003481,0.006133
29,0.003421,0.006288
30,0.003012,0.006064
31,0.003283,0.006357
32,0.003209,0.005677
33,0.003133,0.005280
34,0.003189,0.005996
35,0.003005,0.006327
36,0.003614,0.005167
37,0.003318,0.007143
38,0.002954,0.005533
39,0.002816,0.004961
40,0.003061,0.005924
41,0.003077,0.005808
42,0.002538,0.005625
43,0.002614,0.007100
44,0.002851,0.006006
45,0.002827,0.006222
46,0.002617,0.005749
47,0.002561,0.006915
48,0.002392,0.006739
49,0.002657,0.005773
50,0.002386,0.004871
51,0.002545,0.005911
52,0.002356,0.005858
53,0.002345,0.006328
54,0.002287,0.005904
55,0.002196,0.005433
56,0.002204,0.006213
57,0.002473,0.007163
58,0.002603,0.006927
59,0.002523,0.008857
60,0.002506,0.005654
