step,success_rate,grasp_rate,mean_return,mean_max_lift,train_return,alpha,critic_loss,actor_loss,bc_coef,wall_seconds
25000,0.0000,0.0333,-72.176,0.0008,-72.643,0.0013,400.4826,-0.9885,37.5000,131.2
50000,0.0000,0.1333,-63.565,0.0016,-66.941,0.0003,358.6993,-1.1353,25.0000,276.4
75000,0.0000,0.0000,-88.790,0.0000,-80.012,0.0002,38.8225,-0.9962,12.5000,420.8
100000,0.0000,0.0333,-80.524,0.0021,-75.316,0.0002,3150.9934,-58.6439,0.0000,559.5
125000,0.0000,0.1667,-78.774,0.0032,-70.212,0.0081,3995.5022,-67.0587,0.0000,691.8
150000,0.0000,0.3333,-65.847,0.0120,-65.388,0.0091,1478.5005,-80.5781,0.0000,824.1
175000,0.0000,0.4333,-60.607,0.0160,-57.982,0.0140,2717.3333,-74.7147,0.0000,954.3
200000,0.0000,0.2333,-66.619,0.0042,-65.672,0.0112,852.8174,-87.3419,0.0000,1082.9
