step,success_rate,grasp_rate,mean_return,mean_max_lift,train_return,alpha,critic_loss,actor_loss,bc_coef,wall_seconds
25000,0.0000,0.0000,0.000,0.0000,0.0,0.1500,0.0062,-18.3732,0.0,544.8
50000,0.0000,0.0000,0.000,0.0000,0.0,0.1500,0.0045,-20.0869,0.0,1101.9
75000,0.0000,0.0000,0.000,0.0000,0.0,0.1500,0.0037,-20.2317,0.0,1638.5
100000,0.0000,0.0000,0.000,0.0000,0.0,0.1500,0.0031,-20.3234,0.0,2144.2
125000,0.0000,0.0000,0.000,0.0000,0.0,0.1500,0.0044,-20.3450,0.0,2648.7
150000,0.0000,0.0000,0.000,0.0000,0.0,0.1500,0.0028,-20.4000,0.0,3155.2
175000,0.0000,0.0000,0.000,0.0000,0.0,0.1500,0.0023,-20.4291,0.0,3662.1
200000,0.0000,0.0000,0.000,0.0000,0.0,0.1500,0.0023,-20.4544,0.0,4154.6
