step,success_rate,grasp_rate,mean_return,mean_max_lift,train_return,alpha,critic_loss,actor_loss,bc_coef,wall_seconds
10000,0.0000,0.3333,-30.284,0.0066,-29.521,0.0114,0.1978,14.6048,0.0000,110.9
20000,0.0000,0.6333,-2.652,0.0072,-9.419,0.0160,0.8811,8.6515,0.0000,232.7
30000,0.0000,0.7000,-8.985,0.0061,-2.569,0.0189,1.1697,3.7876,0.0000,351.6
40000,0.0000,0.7000,-4.365,0.0062,-7.545,0.0208,2.1732,1.2420,0.0000,466.3
50000,0.0000,0.8000,-1.499,0.0103,9.109,0.0247,2.9970,-0.7960,0.0000,586.9
60000,0.0000,0.7000,2.434,0.0052,6.079,0.0263,4.1444,-0.7023,0.0000,702.6
70000,0.0000,0.7000,1.576,0.0063,9.111,0.0276,4.1266,-2.0898,0.0000,816.6
80000,0.0000,0.7000,7.835,0.0088,7.208,0.0287,2.4378,-1.5639,0.0000,925.6
90000,0.0000,0.7333,10.519,0.0081,1.541,0.0285,2.5397,-1.9046,0.0000,1038.3
100000,0.0000,0.8667,23.990,0.0091,23.189,0.0287,4.6676,-2.8753,0.0000,1180.6
