step,success_rate,grasp_rate,mean_return,mean_max_lift,train_return,alpha,critic_loss,actor_loss,bc_coef,wall_seconds
25000,0.4667,0.8000,222.546,0.0893,94.557,0.0024,288.9022,-1.3279,50.0000,377.9
50000,0.4333,0.7667,200.698,0.0824,129.853,0.0037,522.3240,-1.0416,50.0000,818.2
75000,0.4333,0.7667,197.753,0.0814,66.121,0.0038,885.0071,-1.5373,50.0000,1311.1
100000,0.5000,0.8000,232.006,0.0971,37.267,0.0037,429.4138,0.2255,50.0000,1806.3
125000,0.4333,0.7667,178.103,0.0782,67.723,0.0040,779.5936,-1.3031,50.0000,2227.8
150000,0.3667,0.7333,175.008,0.0728,150.557,0.0040,628.0511,-1.0530,50.0000,2642.1
175000,0.5000,0.8000,216.953,0.0858,11.507,0.0039,746.9208,-1.1609,50.0000,3082.9
200000,0.5333,0.8333,261.636,0.0896,91.850,0.0040,399.0025,-1.1342,50.0000,3485.5
