step,success_rate,grasp_rate,mean_return,mean_max_lift,train_return,alpha,critic_loss,actor_loss,bc_coef,wall_seconds
25000,0.5333,0.8333,293.313,0.0975,73.825,0.0016,209.1375,-1.0010,50.0000,344.6
50000,0.4333,0.8000,206.081,0.0884,84.414,0.0020,571.2927,-2.0051,50.0000,776.2
75000,0.5667,0.8667,213.214,0.0892,294.100,0.0032,510.5363,-0.3585,50.0000,1261.9
100000,0.6333,0.8667,285.970,0.1007,224.476,0.0037,750.2924,-1.7676,50.0000,1718.7
125000,0.5333,0.8667,241.399,0.0919,164.442,0.0042,594.7557,-1.5022,50.0000,2168.7
150000,0.5333,0.8667,239.080,0.0888,139.646,0.0041,867.9545,-1.3815,50.0000,2588.2
175000,0.5000,0.7333,195.149,0.0774,150.666,0.0042,339.5850,-1.3323,50.0000,3040.0
200000,0.5333,0.8000,231.392,0.0887,241.683,0.0037,821.0676,-1.4090,50.0000,3471.5
