step,success_rate,grasp_rate,mean_return,mean_max_lift,train_return,alpha,critic_loss,actor_loss,bc_coef,wall_seconds
25000,0.1667,0.7333,148.721,0.1059,2.347,0.0019,390.7282,-2.0996,37.5000,212.0
50000,0.4667,0.6667,219.557,0.0776,273.540,0.0019,226.6509,-2.3793,25.0000,445.9
75000,0.3667,0.5000,157.437,0.0628,333.207,0.0019,424.3226,-2.2121,12.5000,677.9
100000,0.2333,0.3333,111.660,0.0572,37.970,0.0020,346.6287,-174.6132,0.0000,910.5
125000,0.4667,0.5333,268.579,0.0834,116.095,0.0760,523.6892,-198.1203,0.0000,1130.3
150000,0.3333,0.3333,155.199,0.0552,98.426,0.1186,395.6496,-141.0380,0.0000,1349.7
175000,0.4333,0.5333,234.126,0.0810,152.037,0.1164,563.7534,-125.4572,0.0000,1569.1
200000,0.3000,0.4000,151.463,0.0662,161.019,0.1191,698.8698,-122.2367,0.0000,1812.3
