step,success_rate,grasp_rate,mean_return,mean_max_lift,train_return,alpha,critic_loss,actor_loss,bc_coef,wall_seconds
25000,0.8333,0.9667,475.856,0.0725,383.252,0.0016,228.8624,-2.2437,37.5000,138.3
50000,0.9333,1.0000,510.518,0.0729,500.313,0.0011,151.7290,-2.4368,25.0000,290.8
75000,0.9667,1.0000,533.793,0.0671,510.386,0.0010,108.1644,-2.4687,12.5000,443.6
100000,0.1667,0.5333,56.989,0.0235,483.403,0.0008,145.4260,-295.0518,0.0000,593.7
125000,0.3667,0.6000,166.367,0.0399,328.366,0.0342,154.5708,-291.0169,0.0000,729.4
150000,0.7000,0.9667,489.430,0.0635,446.639,0.0770,194.9153,-250.9578,0.0000,865.8
175000,0.6667,1.0000,443.721,0.0708,486.760,0.0688,196.3531,-267.1925,0.0000,1002.3
200000,0.6000,1.0000,445.484,0.0709,514.782,0.0661,168.0926,-259.9643,0.0000,1138.9
