step,success_rate,grasp_rate,mean_return,mean_max_lift,train_return,alpha,critic_loss,actor_loss,bc_coef,wall_seconds
25000,0.0000,0.4000,-17.776,0.0101,-40.892,0.1500,0.6703,10.8452,0.0000,237.4
50000,0.0000,0.4667,-7.985,0.0162,-27.267,0.1500,1.3389,11.3688,0.0000,494.9
75000,0.0000,0.5000,-12.591,0.0113,-28.684,0.1500,1.4487,8.5996,0.0000,759.6
100000,0.0000,0.6667,-1.942,0.0154,-23.677,0.1500,1.8686,8.2689,0.0000,988.9
125000,0.0000,0.7333,-0.314,0.0108,-23.392,0.1500,1.9347,8.6421,0.0000,1202.5
150000,0.0000,0.8000,4.525,0.0154,-23.887,0.1500,2.2653,6.6085,0.0000,1408.6
175000,0.0000,0.8000,3.946,0.0138,-14.215,0.1500,2.6174,6.7939,0.0000,1634.3
200000,0.0333,0.7333,12.386,0.0103,-10.816,0.1500,3.2000,6.9753,0.0000,1861.7
