step,success_rate,grasp_rate,mean_return,mean_max_lift,train_return,alpha,critic_loss,actor_loss,bc_coef,wall_seconds
25000,0.0000,0.0000,0.000,0.0023,0.0,0.1500,1.8763,-37.6459,0.0,239.0
50000,0.0333,0.1333,1.900,0.0183,0.0,0.1500,2.3064,-43.8296,0.0,486.3
75000,0.0333,0.1667,2.667,0.0144,0.0,0.1500,4.1926,-40.8776,0.0,724.7
100000,0.2000,0.3333,15.200,0.0211,0.0,0.1500,3.0390,-42.3670,0.0,958.9
125000,0.7333,0.9667,55.400,0.0820,0.0,0.1500,3.4270,-40.4251,0.0,1187.5
150000,0.8667,1.0000,66.567,0.0787,0.0,0.1500,2.2443,-44.5000,0.0,1415.5
175000,0.9333,1.0000,72.133,0.0740,0.0,0.1500,3.1110,-50.2629,0.0,1642.8
200000,0.9667,1.0000,75.900,0.0755,0.0,0.1500,2.4577,-57.5110,0.0,1868.7
