step,success_rate,grasp_rate,mean_return,mean_max_lift,train_return,alpha,critic_loss,actor_loss,bc_coef,wall_seconds
25000,0.0000,0.3333,-33.070,0.0104,-31.576,0.1500,1.6789,14.4210,0.0000,302.4
50000,0.0000,0.8000,-13.690,0.0083,-26.471,0.1500,2.3466,12.7781,0.0000,602.7
75000,0.0000,0.6000,-12.206,0.0111,-27.705,0.1500,4.2486,13.4572,0.0000,886.8
100000,0.0000,0.7333,-12.544,0.0105,-31.204,0.1500,2.4431,13.3960,0.0000,1193.4
125000,0.0000,0.6333,-6.490,0.0091,-25.334,0.1500,3.2367,13.5123,0.0000,1489.7
150000,0.0000,0.8000,-7.080,0.0095,-27.274,0.1500,3.5817,13.7331,0.0000,1794.3
175000,0.0000,0.6667,-10.103,0.0088,-23.140,0.1500,3.6202,14.1145,0.0000,2095.6
200000,0.0000,0.6667,-15.596,0.0077,-23.799,0.1500,3.5022,13.5970,0.0000,2393.7
225000,0.0000,0.6333,-2.230,0.0233,-16.633,0.1500,3.6175,12.7790,0.0000,2694.7
250000,0.0000,0.7667,-6.321,0.0091,-17.859,0.1500,3.7617,13.2474,0.0000,2999.3
275000,0.0000,0.7000,-11.442,0.0159,-15.988,0.1500,4.2539,14.3796,0.0000,3307.9
300000,0.2667,0.9000,154.286,0.0850,32.022,0.1500,8.1749,13.5444,0.0000,3612.2
