step,success_rate,grasp_rate,mean_return,mean_max_lift,train_return,alpha,critic_loss,actor_loss,bc_coef,wall_seconds
25000,0.4333,0.7333,133.626,0.0714,131.946,0.0024,231.3169,-2.3613,37.5000,210.7
50000,0.5667,0.7667,253.638,0.0788,193.161,0.0020,233.1691,-2.2621,25.0000,441.5
75000,0.5000,0.7000,228.158,0.0739,272.010,0.0020,348.4447,-2.2350,12.5000,671.7
100000,0.2333,0.5667,122.355,0.0673,223.122,0.0021,429.7915,-171.7804,0.0000,901.5
125000,0.2000,0.3000,58.851,0.0364,133.566,0.0794,412.6596,-161.7450,0.0000,1118.6
150000,0.3333,0.4333,132.221,0.0500,66.768,0.1233,427.7334,-115.1574,0.0000,1336.5
175000,0.2333,0.3667,84.959,0.0470,143.497,0.1185,432.4561,-111.7346,0.0000,1553.0
200000,0.3000,0.3667,106.883,0.0516,160.455,0.1196,381.1977,-111.3142,0.0000,1791.3
