step,success_rate,grasp_rate,mean_return,mean_max_lift,train_return,alpha,critic_loss,actor_loss,bc_coef,wall_seconds
10000,0.0000,0.9333,9.599,0.0095,-36.897,0.1500,0.1440,8.4297,0.0000,109.7
20000,0.3333,0.8667,302.035,0.1171,20.058,0.1500,2.1701,2.0270,0.0000,227.9
30000,0.7000,0.8333,473.903,0.0913,424.772,0.1500,41.5153,-60.6173,0.0000,340.1
40000,0.8333,0.9667,593.998,0.1141,523.483,0.2230,98.4849,-149.2710,0.0000,457.4
50000,0.8667,1.0000,642.993,0.1293,662.689,0.2616,100.6665,-185.6516,0.0000,583.0
60000,0.9000,0.9667,674.431,0.1218,686.440,0.2714,86.0280,-224.4760,0.0000,707.1
70000,1.0000,1.0000,729.015,0.1211,695.434,0.2770,105.8197,-247.5223,0.0000,835.3
80000,1.0000,1.0000,746.474,0.1249,700.798,0.2640,49.0668,-267.9293,0.0000,961.1
90000,0.9667,1.0000,742.703,0.1227,716.913,0.2625,70.4422,-293.1826,0.0000,1086.7
100000,1.0000,1.0000,756.192,0.1252,731.444,0.2587,54.9008,-298.2828,0.0000,1218.7
