step,success_rate,grasp_rate,mean_return,mean_max_lift,train_return,alpha,critic_loss,actor_loss,bc_coef,wall_seconds
25000,0.0000,0.6000,-26.770,0.0081,-45.510,0.1500,0.7270,13.5500,0.0000,159.8
50000,0.0000,0.5333,-22.752,0.0102,-40.653,0.1500,1.3490,13.2985,0.0000,325.8
75000,0.0000,0.6000,-23.336,0.0102,-28.162,0.1500,1.7589,11.9958,0.0000,492.4
100000,0.0000,0.5333,-19.412,0.0112,-30.105,0.1500,1.9430,10.8496,0.0000,658.9
125000,0.0000,0.6000,-14.925,0.0090,-30.253,0.1500,2.0313,10.5829,0.0000,826.2
150000,0.0000,0.7667,3.737,0.0217,-27.004,0.1500,1.5692,9.7173,0.0000,973.1
175000,0.0000,0.8000,-3.429,0.0110,-17.192,0.1500,2.3834,8.8475,0.0000,1114.9
200000,0.0000,0.9000,5.806,0.0154,-18.004,0.1500,2.3844,8.0651,0.0000,1254.6
