step,success_rate,grasp_rate,mean_return,mean_max_lift,train_return,alpha,critic_loss,actor_loss,bc_coef,wall_seconds
25000,0.9667,1.0000,258.591,0.1034,43.865,0.0017,37.0502,-1.1978,37.5000,157.1
50000,0.8667,1.0000,261.537,0.1086,41.828,0.0016,97.2248,-2.1801,25.0000,398.6
75000,0.9000,1.0000,323.858,0.1129,181.839,0.0015,133.5072,-2.3881,12.5000,641.8
100000,0.4333,0.8000,288.696,0.1020,312.873,0.0012,176.6044,-166.0909,0.0000,881.3
125000,0.5333,0.8333,292.963,0.0726,314.998,0.0423,232.8120,-188.7216,0.0000,1101.1
150000,0.5333,0.8333,290.147,0.0778,346.439,0.0607,313.8481,-196.1134,0.0000,1315.8
175000,0.5667,0.8667,308.026,0.0746,416.545,0.0626,297.1226,-220.6029,0.0000,1541.8
200000,0.6667,0.9333,438.443,0.0737,640.864,0.0626,275.8723,-229.5243,0.0000,1764.7
