step,success_rate,grasp_rate,mean_return,mean_max_lift,train_return,alpha,critic_loss,actor_loss,bc_coef,wall_seconds
25000,1.0000,1.0000,270.895,0.1048,120.732,0.0016,34.9822,-1.3625,37.5000,156.6
50000,0.9000,1.0000,286.842,0.1130,280.782,0.0017,174.3366,-2.2725,25.0000,402.7
75000,0.9667,1.0000,354.117,0.1139,325.721,0.0014,125.4965,-2.3615,12.5000,644.8
100000,0.6667,0.9000,411.750,0.1856,442.976,0.0011,186.2947,-186.4379,0.0000,883.0
125000,0.6333,0.9667,390.974,0.0975,429.292,0.0447,548.7231,-246.6184,0.0000,1100.2
150000,0.6667,1.0000,443.043,0.0988,432.184,0.0863,408.5210,-237.0739,0.0000,1315.1
175000,0.7333,1.0000,530.411,0.1136,487.963,0.0830,216.7851,-268.8265,0.0000,1540.5
200000,0.7000,0.9000,500.079,0.0788,573.545,0.0769,710.9525,-260.1039,0.0000,1763.4
