step,success_rate,grasp_rate,mean_return,mean_max_lift,train_return,alpha,critic_loss,actor_loss,bc_coef,wall_seconds
25000,0.0667,0.0667,-52.287,0.0112,-55.322,0.0070,142.2977,-0.4501,37.5000,230.1
50000,0.0667,0.1000,-55.530,0.0118,-82.834,0.0107,307.4177,-1.1814,25.0000,462.9
75000,0.0333,0.0667,-61.521,0.0090,-77.260,0.0115,216.0558,-0.7993,12.5000,687.9
100000,0.0333,0.0333,-67.179,0.0058,-59.614,0.0120,277.0208,-41.9084,0.0000,897.5
125000,0.0000,0.0333,-86.004,0.0024,-86.068,0.3622,377.9283,-47.0284,0.0000,1096.3
150000,0.0333,0.0667,-70.827,0.0071,-99.118,0.2901,106.8298,-24.2987,0.0000,1295.5
175000,0.0000,0.0667,-84.632,0.0067,-89.797,0.2662,106.7123,-27.5427,0.0000,1493.4
200000,0.0000,0.1000,-84.955,0.0075,-58.044,0.2715,108.9455,-22.0626,0.0000,1691.7
