step,success_rate,grasp_rate,mean_return,mean_max_lift,train_return,alpha,critic_loss,actor_loss,bc_coef,wall_seconds
25000,0.3667,0.7000,100.776,0.0696,-36.118,0.0016,172.9122,-0.6514,50.0000,182.4
50000,0.3333,0.6333,54.259,0.0611,88.757,0.0011,181.0033,-0.5903,50.0000,385.1
75000,0.4667,0.7667,134.618,0.0805,-7.031,0.0009,224.2231,-0.6142,50.0000,588.0
100000,0.3667,0.6000,117.916,0.0780,63.125,0.0008,206.7867,-0.1533,50.0000,791.0
125000,0.1667,0.4333,47.211,0.0607,65.213,0.0009,393.8944,-0.5646,50.0000,992.9
150000,0.2000,0.6333,61.353,0.0630,78.952,0.0008,273.7595,-0.1179,50.0000,1157.9
175000,0.2667,0.6333,84.835,0.0652,11.674,0.0007,244.4958,-0.0586,50.0000,1325.2
200000,0.2333,0.5667,75.338,0.0519,17.261,0.0007,430.3229,-0.2710,50.0000,1490.6
