step,success_rate,grasp_rate,mean_return,mean_max_lift,train_return,alpha,critic_loss,actor_loss,bc_coef,wall_seconds
1500,0.0000,0.0000,-38.632,0.0012,-49.649,0.0642,0.1320,4.4223,0.0,249.0
3000,0.0000,0.6562,6.443,0.0021,10.519,0.0429,0.6439,6.3836,0.0,502.4
4500,0.0000,0.7500,18.310,0.0020,21.400,0.0311,0.2856,5.6382,0.0,753.9
6000,0.0000,0.5000,5.787,0.0007,19.849,0.0230,2.1669,4.5493,0.0,1009.1
7500,0.0000,1.0000,33.262,0.0367,30.829,0.0170,0.6658,2.2930,0.0,1271.0
9000,0.0000,1.0000,31.023,0.0252,21.205,0.0127,2.7471,0.3304,0.0,1532.8
10500,0.0000,0.9688,79.295,0.2249,50.278,0.0116,1.5648,-1.4270,0.0,1796.4
12000,0.0000,1.0000,94.239,0.3091,71.920,0.0204,4.2347,-5.5519,0.0,2062.5
13500,0.0312,0.8750,47.356,0.2533,62.269,0.0347,9.3992,-14.8779,0.0,2326.8
15000,0.0000,1.0000,92.261,0.3143,85.768,0.0517,13.0996,-23.1503,0.0,2537.0
