step,success_rate,grasp_rate,mean_return,mean_max_lift,train_return,alpha,critic_loss,actor_loss,bc_coef,wall_seconds
25000,0.8667,1.0000,532.124,0.1292,522.084,0.0019,204.9282,-2.3255,50.0000,124.2
50000,0.8333,1.0000,524.635,0.1278,403.501,0.0018,1406.9366,-2.4117,50.0000,275.9
75000,0.8333,1.0000,486.677,0.1281,481.825,0.0017,446.2535,-2.4010,50.0000,431.4
100000,0.9333,1.0000,537.172,0.1306,467.263,0.0016,552.4515,-2.4151,50.0000,587.6
125000,0.8667,1.0000,523.283,0.1271,488.270,0.0015,485.0605,-2.3563,50.0000,743.2
150000,0.9333,1.0000,537.184,0.1267,467.177,0.0014,519.8773,-2.3888,50.0000,897.3
175000,0.9333,1.0000,540.134,0.1283,445.831,0.0014,199.0781,-2.2931,50.0000,1051.8
200000,0.8667,1.0000,516.383,0.1302,481.839,0.0013,376.2804,-2.2699,50.0000,1201.4
