step,success_rate,grasp_rate,mean_return,mean_max_lift,train_return,alpha,critic_loss,actor_loss,bc_coef,wall_seconds
25000,0.0000,0.4000,-22.587,0.0084,-35.132,0.1500,0.7897,9.0404,0.0000,260.6
50000,0.0000,0.5667,-12.575,0.0078,-26.201,0.1500,2.1105,8.3766,0.0000,502.6
75000,0.0000,0.6667,-9.047,0.0100,-28.624,0.1500,1.6369,7.4183,0.0000,775.7
100000,0.0000,0.5667,-5.645,0.0068,-13.696,0.1500,2.3737,5.9162,0.0000,1044.6
125000,0.0000,0.6333,-0.033,0.0090,-12.992,0.1500,2.8882,6.8751,0.0000,1252.1
150000,0.0000,0.8000,2.806,0.0105,-18.590,0.1500,2.4935,5.9808,0.0000,1461.3
175000,0.0000,0.7667,5.543,0.0134,-16.573,0.1500,2.6669,5.0799,0.0000,1690.0
200000,0.0000,0.7000,1.912,0.0094,-11.922,0.1500,3.0952,5.2057,0.0000,1916.6
