step,success_rate,grasp_rate,mean_return,mean_max_lift,train_return,alpha,critic_loss,actor_loss,bc_coef,wall_seconds
1500,0.0000,0.0312,-56.981,0.0014,-76.618,0.0638,0.0521,4.7316,0.0,178.3
3000,0.0000,0.0938,-43.534,0.0053,-52.926,0.0410,0.3480,8.8829,0.0,371.5
4500,0.0000,0.0625,-30.072,0.0083,-32.142,0.0269,0.6183,11.9453,0.0,579.7
6000,0.0000,0.2188,-16.480,0.0141,-25.099,0.0187,1.7410,13.0212,0.0,781.7
7500,0.0000,0.5000,-5.407,0.0091,-11.744,0.0141,1.3099,14.1299,0.0,988.5
9000,0.0000,0.5000,-6.163,0.0073,1.058,0.0112,2.1944,12.7631,0.0,1190.9
10500,0.0000,0.5938,0.019,0.0094,-1.486,0.0092,2.9077,13.2137,0.0,1384.9
12000,0.0000,0.7500,6.459,0.0068,6.710,0.0085,2.7263,11.4284,0.0,1564.9
13500,0.0000,0.5938,-2.162,0.0062,1.584,0.0084,2.1868,10.7569,0.0,1737.2
15000,0.0000,0.5938,-3.414,0.0050,-3.502,0.0080,1.9744,10.7067,0.0,1912.7
